Stage                                             ,Total (s)   ,Elapsed (s) 
Initilisation (file opened)                       ,      0.00,      0.00
Found 2D domains                                  ,      0.18,      0.18
Start 2D BC Array Sizes Domain_001                ,      0.25,      0.07
End 2D BC Array Sizes Domain_001                  ,      0.28,      0.03
Start Estry Setup s0                              ,      0.28,      0.00
End Estry Setup s0                                ,      0.28,      0.00
Start TUFLOW Setup s2                             ,      0.28,      0.00
End TUFLOW Setup s2                               ,      0.56,      0.28
Reading Geometry File Domain_001                  ,      0.61,      0.06
Start Read Grid Read GRID Zpts                    ,      0.62,      0.00
End Read Grid Read GRID Zpts                      ,      0.62,      0.01
Start Read Read GIS Code                          ,      0.63,      0.00
End Read Read GIS Code                            ,      0.65,      0.03
Finished Reading Geometry File Domain_001         ,      0.66,      0.00
Start Read input file (stage 2) Domain_001        ,      0.66,      0.00
End Read input file (stage 2) Domain_001          ,      0.76,      0.10
Identifying cells within user defined output zones,      0.76,      0.00
Finished Identifying cells within user defined out,      0.76,      0.01
Setting instability water levels Domain_001       ,      0.76,      0.00
Finished Setting instability water levels Domain_0,      0.76,      0.00
Assigning any Variable Z Shape 1D Trigger Nodes   ,      0.76,      0.00
Finished Assigning any Variable Z Shape 1D Trigger,      0.76,      0.00
Start Reading Input File (Stage 3)                ,      0.76,      0.00
End Reading Input File (Stage 3)                  ,      0.77,      0.00
Reading Boundary File Domain_001                  ,      0.77,      0.00
Finished Reading Boundary File Domain_001         ,      0.88,      0.11
Initialising 2D Data (Stage 1) Domain_001         ,      0.90,      0.02
Finished Initialising 2D Data (Stage 1) Domain_001,      0.91,      0.01
Initialising 2D Data (Stage 2) Domain_001         ,      0.91,      0.00
Finished Initialising 2D Data (Stage 2) Domain_001,      0.96,      0.05
Start Writing _grd_check                          ,      0.99,      0.03
End Writing _grd_check                            ,      1.12,      0.14
Start Writing _zpt_check                          ,      1.12,      0.00
End Writing _zpt_check                            ,      1.40,      0.28
Start Writing _uvpt_check                         ,      1.40,      0.00
End Writing _uvpt_check                           ,      1.72,      0.31
Start Writing check DEMs                          ,      1.75,      0.03
Start Calculating grid interpolation factors      ,      1.75,      0.00
End Calculating grid interpolation factors        ,      1.76,      0.01
End Writing check DEMs                            ,      1.80,      0.04
Start Calculating grid interpolation factors      ,      1.80,      0.00
End Calculating grid interpolation factors        ,      1.80,      0.00
Starting Simulation                               ,      1.81,      0.01
Summary File Close                                ,      1.81,      0.00
