Stage                                             ,Total (s)   ,Elapsed (s) 
Initilisation (file opened)                       ,      0.00,      0.00
Found 2D domains                                  ,      0.22,      0.22
Start 2D BC Array Sizes Domain_001                ,      0.23,      0.01
End 2D BC Array Sizes Domain_001                  ,      0.26,      0.03
Start Estry Setup s0                              ,      0.26,      0.00
End Estry Setup s0                                ,      0.26,      0.00
Start TUFLOW Setup s2                             ,      0.26,      0.00
End TUFLOW Setup s2                               ,      0.49,      0.22
Reading Geometry File Domain_001                  ,      0.51,      0.02
Start Read Grid Read GRID Zpts                    ,      0.51,      0.00
End Read Grid Read GRID Zpts                      ,      0.51,      0.00
Start Read Read GIS Code                          ,      0.52,      0.00
End Read Read GIS Code                            ,      0.52,      0.01
Finished Reading Geometry File Domain_001         ,      0.54,      0.02
Start Read input file (stage 2) Domain_001        ,      0.54,      0.00
End Read input file (stage 2) Domain_001          ,      0.63,      0.09
Identifying cells within user defined output zones,      0.63,      0.00
Finished Identifying cells within user defined out,      0.63,      0.00
Setting instability water levels Domain_001       ,      0.63,      0.00
Finished Setting instability water levels Domain_0,      0.63,      0.00
Assigning any Variable Z Shape 1D Trigger Nodes   ,      0.63,      0.00
Finished Assigning any Variable Z Shape 1D Trigger,      0.63,      0.00
Start Reading Input File (Stage 3)                ,      0.63,      0.00
End Reading Input File (Stage 3)                  ,      0.63,      0.00
Reading Boundary File Domain_001                  ,      0.64,      0.00
Finished Reading Boundary File Domain_001         ,      0.78,      0.14
Initialising 2D Data (Stage 1) Domain_001         ,      0.79,      0.01
Finished Initialising 2D Data (Stage 1) Domain_001,      0.79,      0.01
Initialising 2D Data (Stage 2) Domain_001         ,      0.80,      0.00
Finished Initialising 2D Data (Stage 2) Domain_001,      0.85,      0.05
Start Writing _grd_check                          ,      0.87,      0.02
End Writing _grd_check                            ,      1.09,      0.22
Start Writing _zpt_check                          ,      1.09,      0.00
End Writing _zpt_check                            ,      1.59,      0.50
Start Writing _uvpt_check                         ,      1.59,      0.00
End Writing _uvpt_check                           ,      1.95,      0.36
Start Writing check DEMs                          ,      1.99,      0.04
Start Calculating grid interpolation factors      ,      1.99,      0.00
End Calculating grid interpolation factors        ,      1.99,      0.00
End Writing check DEMs                            ,      2.00,      0.01
Start Calculating grid interpolation factors      ,      2.00,      0.00
End Calculating grid interpolation factors        ,      2.01,      0.01
Starting Simulation                               ,      2.02,      0.01
Summary File Close                                ,      2.02,      0.00
