"OutphaseC4_016 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_016.tcf]","Time (h)","Q 2 [OutphaseC4_016]","Q 3 [OutphaseC4_016]","Q 4 [OutphaseC4_016]","Q 5 [OutphaseC4_016]","Q 6 [OutphaseC4_016]","Q 7 [OutphaseC4_016]","Q 1 [OutphaseC4_016]","Q  8 [OutphaseC4_016]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -18.8303,         -0.0002
           3,        0.016667,         -7.4079,          0.0000,          0.0000,         -0.0000,          0.0000,          0.0000,        -25.6075,          0.0002
           4,        0.025000,        -21.7900,          0.0000,          0.0000,         -0.0000,          0.0000,          0.0000,        -33.3634,         -0.0002
           5,        0.033333,        -32.1588,        -18.5928,          0.0000,         -0.0000,          0.0000,          0.0000,        -39.8481,          0.0002
           6,        0.041667,        -39.2616,        -19.2633,          0.0000,         -0.0000,          0.0000,          0.0000,        -43.3010,          0.0001
           7,        0.050000,        -43.4801,        -22.6515,         -0.9255,         -0.0000,          0.0000,          0.0000,        -47.6470,         -0.0002
           8,        0.058333,        -46.4572,        -26.4173,         -6.9207,         -0.0000,          0.0000,          0.0000,        -47.2491,          0.0003
           9,        0.066667,        -47.6723,        -29.5631,        -13.6453,         -6.7698,          0.0000,          0.0000,        -48.7674,          0.0002
          10,        0.075000,        -48.7271,        -33.3321,        -20.1394,        -14.9887,          0.0000,          0.0000,        -49.9371,         -0.0002
          11,        0.083333,        -49.1792,        -36.4554,        -25.9406,        -18.2092,          0.0000,          0.0000,        -49.2599,          0.0002
          12,        0.091667,        -49.6070,        -39.0783,        -30.7079,        -21.0170,          0.0000,          0.0000,        -49.5148,          0.0002
          13,        0.100000,        -49.7698,        -41.2673,        -34.5933,        -23.8140,          0.0000,          0.0000,        -50.1915,          0.0005
