"VanillaC4_015 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_015.tcf]","Time (h)","Q 2 [VanillaC4_015]","Q 3 [VanillaC4_015]","Q 4 [VanillaC4_015]","Q 5 [VanillaC4_015]","Q 6 [VanillaC4_015]","Q 7 [VanillaC4_015]","Q 1 [VanillaC4_015]","Q  8 [VanillaC4_015]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -32.8344,         -0.0001
           3,        0.016667,        -25.1419,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -37.0065,          0.0010
           4,        0.025000,        -32.8394,        -10.3345,          0.0000,          0.0000,          0.0000,         -0.0000,        -38.1648,         -0.0017
           5,        0.033333,        -35.8757,        -25.9271,          0.0000,          0.0000,          0.0000,         -0.0007,        -38.9576,          0.0018
           6,        0.041667,        -37.3630,        -31.7462,        -15.5309,          0.0000,          0.0001,          0.0002,        -39.3765,          0.0006
           7,        0.050000,        -38.2392,        -34.4860,        -25.7222,         -3.5404,         -0.0004,         -0.0002,        -39.5135,          0.0012
           8,        0.058333,        -38.7556,        -36.2577,        -30.6339,        -20.5157,         -0.0002,          0.0007,        -39.6755,         -0.0004
           9,        0.066667,        -39.1303,        -37.3631,        -33.5444,        -27.2554,         -0.0000,         -0.0010,        -39.7642,         -0.0017
          10,        0.075000,        -39.3630,        -38.1067,        -35.4145,        -31.1486,        -13.0494,         -0.0009,        -39.8325,          0.0002
          11,        0.083333,        -39.5346,        -38.6145,        -36.6626,        -33.6529,        -21.6134,         -4.2731,        -39.8741,          0.0007
          12,        0.091667,        -39.6547,        -38.9718,        -37.5409,        -35.3578,        -26.9066,        -18.5626,        -39.9083,         -1.2529
          13,        0.100000,        -39.7417,        -39.2270,        -38.1658,        -36.5372,        -30.4359,        -24.1548,        -39.9303,        -19.2004
          14,        0.108333,        -39.8066,        -39.4190,        -38.6159,        -37.3984,        -32.8759,        -28.1363,        -39.9489,        -30.4652
          15,        0.116667,        -39.8538,        -39.5595,        -38.9439,        -38.0257,        -34.6270,        -31.2886,        -39.9610,        -32.8192
          16,        0.125000,        -39.8895,        -39.6650,        -39.1920,        -38.4880,        -35.9035,        -34.5130,        -39.9709,        -34.1380
          17,        0.133333,        -39.9154,        -39.7438,        -39.3800,        -38.8321,        -36.8655,        -35.8339,        -39.9773,        -35.1269
          18,        0.141667,        -39.9360,        -39.8038,        -39.5223,        -39.0960,        -37.6710,        -36.7417,        -39.9833,        -36.0230
          19,        0.150000,        -39.9505,        -39.8494,        -39.6313,        -39.2998,        -38.2900,        -37.4409,        -39.9872,        -36.8050
          20,        0.158333,        -39.9620,        -39.8838,        -39.7145,        -39.4565,        -38.6897,        -37.9725,        -39.9904,        -37.4596
          21,        0.166667,        -39.9707,        -39.9102,        -39.7784,        -39.5777,        -38.9899,        -38.4006,        -39.9922,        -37.9806
          22,        0.175000,        -39.9772,        -39.9307,        -39.8280,        -39.6749,        -39.2173,        -38.7449,        -39.9942,        -38.4056
          23,        0.183333,        -39.9825,        -39.9461,        -39.8665,        -39.7509,        -39.3917,        -39.0169,        -39.9948,        -38.7457
          24,        0.191667,        -39.9863,        -39.9578,        -39.8963,        -39.8080,        -39.5265,        -39.2313,        -39.9964,        -39.0154
          25,        0.200000,        -39.9893,        -39.9679,        -39.9203,        -39.8524,        -39.6318,        -39.3995,        -39.9966,        -39.2297
          26,        0.208333,        -39.9914,        -39.9747,        -39.9382,        -39.8855,        -39.7130,        -39.5310,        -39.9982,        -39.3972
          27,        0.216667,        -39.9935,        -39.9805,        -39.9521,        -39.9113,        -39.7768,        -39.6341,        -39.9981,        -39.5289
          28,        0.225000,        -39.9946,        -39.9849,        -39.9628,        -39.9313,        -39.8261,        -39.7145,        -39.9985,        -39.6322
          29,        0.233333,        -39.9963,        -39.9884,        -39.9717,        -39.9469,        -39.8650,        -39.7780,        -39.9984,        -39.7132
          30,        0.241667,        -39.9970,        -39.9908,        -39.9779,        -39.9586,        -39.8947,        -39.8268,        -39.9999,        -39.7763
          31,        0.250000,        -39.9974,        -39.9925,        -39.9829,        -39.9680,        -39.9183,        -39.8646,        -39.9994,        -39.8251
          32,        0.258333,        -39.9983,        -39.9946,        -39.9867,        -39.9751,        -39.9363,        -39.8951,        -39.9993,        -39.8638
          33,        0.266667,        -39.9988,        -39.9960,        -39.9895,        -39.9806,        -39.9505,        -39.9179,        -39.9995,        -39.8945
          34,        0.275000,        -39.9984,        -39.9964,        -39.9920,        -39.9848,        -39.9613,        -39.9360,        -39.9999,        -39.9174
