"   Time (h) ","iStep     ","nRS_NaNs","nRS_HCNs","dtTarget    ","tLastMax    ","H V In      ","H V Out     ","Es HX V In  ","Es HX V Out ","x1D HX V In ","x1D HX V Out","S/RF Vol In ","S/RF Vol Out","Es SX V In  ","Es SX V Out ","x1D SX V In ","x1D SX V Out","V In-Out    ","dVol        ","V Err       ","Total V     ","Q ME (%)"
         0.000,           0,         0,         0, 0.2500000E-01,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,     0.000
         0.167,        1984,         0,         2, 0.3135975    , 0.1666667    ,  8460.027    ,  40915.54    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72876.00    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  40420.49    ,  40420.49    , 0.2947975E-02,  40420.49    ,     0.000
         0.333,        3887,         0,         2, 0.3195057    , 0.3333333    ,  0.000000    ,  72693.61    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72876.00    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  182.3981    ,  182.3906    ,-0.7496289E-02,  40602.88    ,    -0.000
         0.500,        5754,         0,         2, 0.3255323    , 0.5000000    ,  0.000000    ,  72874.59    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72875.99    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1.401905    ,  1.406250    , 0.4344940E-02,  40604.29    ,     0.000
         0.667,        7587,         0,         2, 0.3315583    , 0.6660256    ,  0.000000    ,  72876.00    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72876.01    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.8396186E-02, 0.1171875E-01, 0.3322564E-02,  40604.30    ,     0.000
         0.833,        9388,         0,         2, 0.3375933    , 0.8327747    ,  0.000000    ,  72876.01    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72876.01    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,-0.8620322E-03,-0.3906250E-02,-0.3044218E-02,  40604.30    ,    -0.000
         1.000,       11156,         0,         2, 0.3436241    , 0.9987619    ,  0.000000    ,  72875.99    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72875.98    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,-0.3860474E-02, 0.3906250E-02, 0.7766724E-02,  40604.30    ,     0.000
         1.167,       12894,         0,         2, 0.3496587    ,  1.166570    ,  0.000000    ,  72876.03    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72876.03    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,-0.2666384E-02,-0.7812500E-02,-0.5146116E-02,  40604.29    ,    -0.000
         1.333,       14603,         0,         2, 0.3556939    ,  1.330966    ,  0.000000    ,  72875.99    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72875.98    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,-0.1659371E-02, 0.3906250E-02, 0.5565621E-02,  40604.30    ,     0.000
         1.500,       16282,         0,         2, 0.3617240    ,  1.499301    ,  0.000000    ,  72875.98    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72875.98    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,-0.1495361E-02, 0.3906250E-02, 0.5401611E-02,  40604.30    ,     0.000
         1.667,       17934,         0,         2, 0.3677562    ,  1.666159    ,  0.000000    ,  72876.04    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72876.04    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,-0.5263239E-03,-0.1562500E-01,-0.1509868E-01,  40604.29    ,    -0.000
         1.833,       19716,         0,         3, 0.3369425    ,  1.826071    ,  0.000000    ,  72876.10    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72875.98    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,-0.1154784    ,-0.1093750    , 0.6103363E-02,  40604.18    ,     0.000
         2.000,       21488,         0,         3, 0.3429713    ,  1.998295    ,  0.000000    ,  72875.86    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72875.98    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.1269150    , 0.1289062    , 0.1991272E-02,  40604.30    ,     0.000
